name,slug,gender,higher_than_MA,Masters,Undergrad,Pipeline,Position_Title,Time_Served
"nitin-natarajan/",M,NA,Naval Postgraduate School,State University of New York Empire State College
"neilesh-shelat-3527892/",M,NA,Tulane University,"Washington University in St. Louis"
"michael-mcgarrity-34956886/",M,"The Catholic University of America, Columbus School of Law",NA,NA
"kerilowry/",F,NA,NA,University of Colorado Boulder
"rebecca-brocato-38628b21/",F,NA,University of Oxford,Harvard University
"iain-robertson-mba-ba9a20b7/",M,NA,"Georgetown University - The McDonough School of Business",Carleton College
"thomasmcnallytm/",M,NA,Georgetown University,United States Military Academy at West Point
"denis-mcdonough-873514144/",M,NA,Georgetown University,"St. John's University, Collegeville, MN"
"malhassani/",M,NA,"The London School of Economics and Political Science (LSE)",The George Washington University
"davis-hake/",M,NA,National Defense University,"University of California, Davis"
"jen-easterly-225380123/",F,NA,University of Oxford,United States Military Academy at West Point
"jeff-heath-cissp-1b7298124/",M,NA,NA,American Military University
"jonathan-murphy-a906338/",M,NA,The Johns Hopkins University,"Augustana University, Sioux Falls"
"judd-devermont-24296611a/",M,NA,Yale University,"University of California, Los Angeles"
"joshua-bouknight-821953149/",M,NA,NA,University of Maryland University College
"dave-horan-4a055098/",M,NA,Naval War College,United States Military Academy at West Point
"radha-iyengar-plumb-902058a/",F,Princeton University,NA,Massachusetts Institute of Technology
"thompsonjf2/",M,NA,University of Auckland,"Saint Joseph's University"
"dabkern/",M,NA,Naval Postgraduate School,Jacksonville University
"denison-k-offut-10987585/",M,NA,National Defense University,Shepherd University
"erin-pelton-b20b823/",F,Georgetown University,Drake University
"jessicanarnold/",F,NA,"Columbia University - School of International and Public Affairs",Michigan State University
"brittany-gjormand-04096398/",F,NA,NA,University of Virginia
"nathan-blumenthal-46bb29b7/",M,NA,NA,The George Washington University
"rob-morrison-72185235/",M,NA,Naval War College,US Naval Academy
"jliebold/",M,NA,NA,American Military University
"danmangis/",M,The University of Texas at Austin,The University of Texas School of Law,University of Alabama
"glenn-voelz-739b06143/",NA,University of Virginia,United States Military Academy at West Point
"joyce-connery-770199/",F,NA,"Tufts University - The Fletcher School of Law and Diplomacy",Tufts University
"david-a-newman/",M,Yale Law School,NA,Columbia University
"charles-luftig-a042431/",M,University of Virginia School of Law,NA,University of Michigan
"ian-d-brasure-a3a6087/",M,NA,NA,Arizona State University
"patrick-dutton-4b9b10123/",M,NA,"University of Pittsburgh's Graduate School of Public and International Affairs",Marietta College
"phyllis-berry-b59a0662/",F,Georgetown University,NA,NA
"rob-miranda-a24a8617/",M,NA,Naval Postgraduate School,United States Air Force Academy
"rob-berschinski-8119a8/",M,NA,Yale University,Yale University
"adam-s-4a1821131/",M,NA,NA,Virginia Tech
"mary-beth-goodman-3643406/",F,"Chicago-Kent College of Law, Illinois Institute of Technology",Georgetown University Law Center,James Madison University
"afreen-akhter-214ab721/",F,NA,Harvard Kennedy School of Government,Brown University
"robert-wilson-0b0507b/",M,NA,National Defense University,University of Connecticut
"jamie-price-619bb1a9/",F,NA,National Defense University,Loyola University New Orleans
"rumana-ahmed-98809a73/",F,NA,Harvard Kennedy School of Government,The George Washington University
"ned-price/",M,NA,Harvard Kennedy School of Government,Georgetown University
"krmora/",M,NA,National Intelligence University,New Mexico State University
"lynn-rusten-79269511/",F,NA,National War College,Oberlin College
"myles-caggins/",M,NA,Georgetown University,Hampton University
"anna-makanju-6388453a/",F,Stanford University Law School,NA,Western Washington University
"brettjfeddersen/",M,NA,Duquesne University,Geneva College
"cary-bassin/",M,Harvard Law School,NA,"University of California, Berkeley"
"ariana-navarro-rowberry-21b4913a/",F,New York University School of Law,NA,University of North Carolina at Chapel Hill
"john-beaver/",M,NA,Naval War College,University of Mississippi
"david-cruz-glaudemans-a200978/",M,NA,American University,University of Maryland College Park
"mark-a-sullo-b8093971/",M,NA,The George Washington University,Western Kentucky University
"randall-beisecker-8b7a481/",M,Middlebury Institute of International Studies at Monterey,Georgetown University
"kelly-magsamen-65315b119/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",American University
"shannon-culbertson-a6a4b64/",F,NA,"Columbia University - School of International and Public Affairs",Emory University
"laura-gohlke-61289496/",F,NA,NA,Marymount University
"andrew-grotto-2534b510a/",M,"University of California, Berkeley - School of Law",Harvard University,University of Kentucky
"schneidergrant/",M,NA,American University,George Mason University
"paul-benvie-249089120/",M,NA,Fordham University,"Saint Joseph's University"
"jeffwhayes/",M,NA,Army War College,George Mason University
"edmondsjeffrey/",M,NA,Harvard University,United States Military Academy at West Point
"shawn-turner-22aa0418/",M,NA,George Mason University,Texas State University-San Marcos
"stephaniebowers/",F,NA,National War College,The George Washington University
"romanlisa/",F,NA,American University,American University
"rachel-goldbrenner-6a59862/",F,New York University School of Law,NA,"University of California, Berkeley"
"jeffrey-prescott-13401612/",M,Yale Law School,NA,NA
"rosendw/",M,NA,The George Washington University,University of Florida
"caseythomasgetz/",M,NA,Middlebury Institute of International Studies at Monterey,Brigham Young University
"monte-hawkins-41968620/",M,NA,University of Maryland,The University of Tulsa
"david-adams-94850b13/",NA,"Webster University","Hudson Valley Community College"
"scott-roecker-b9865b12b/",M,NA,NA,NA
"david-y-lee-1498041/",M,NA,Carnegie Mellon University,Carnegie Mellon University
"tszimmerman/",M,NA,"Tufts University - The Fletcher School of Law and Diplomacy",Williams College
"jonathan-l-lee/",M,Stanford Law School,University of Cambridge,Harvard College
"benlevine1/",M,NA,"Georgetown University - The McDonough School of Business","University of Massachusetts, Amherst"
"mark-tervakoski-5217b3/",M,NA,University of Oxford,University of Maryland
"mitchellsipus/",M,Carnegie Mellon University,University of Cincinnati,Art Academy of Cincinnati
"evan-reade-97b167121/",M,American University Washington College of Law,NA,"University of California, Berkeley"
"mitchell-plonski-bb5743165/",M,NA,The Johns Hopkins University,University of Minnesota Duluth
"brooke-d-anderson-5a958263/",F,NA,NA,Sarah Lawrence College
"leah-bray-210559130/",F,NA,The United States Naval Postgraduate School,University of the South
"alexandra-kahan/",F,NA,Princeton University,Cornell University
"john-doyon-8bb54b91/",M,NA,Georgetown University,University of Virginia
"ha-nguyen-mcneill-525404b/",F,NA,Harvard Kennedy School of Government,"University of California, Irvine"
"maren-brooks-b9b9216/",F,NA,"American University","University of North Carolina at Chapel Hill"
"bri-law-4a92096/",F,NA,UC Santa Barbara,NA
"kathryngrant/",F,NA,The Johns Hopkins University,Bowdoin College
"neil-noronha-96a8525b/",M,NA,Georgetown University,Georgetown University
"rob-thompson-407a1bb/",M,NA,The George Washington University,"University of Minnesota-Twin Cities"
"jillian-st-john-a25a19a8/",F,NA,University of St. Thomas,NA
"adam-smith-6b40266/",M,Harvard Law School,University of Oxford,Brown University
"katherine-ustler-3b229689/",F,NA,NA,US Coast Guard Academy
"kristie-canegallo-820434151/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Colgate University
"julia-santucci-431732129/",F,NA,University of Arizona,University of Dayton
"chris-rapich-802597a8/",M,NA,NA,Upper Iowa University
"himamauli-das-98526375/",M,"University of California, Berkeley - School of Law","University of California, Berkeley","University of California, Berkeley"
"coleman-mehta-2a083a17/",M,NA,North Carolina State University,University of Virginia
"jane-rhee-459b667/",F,NA,Princeton University,Harvard University
"raven-bukowski-stein-30588a15/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",United States Military Academy at West Point
"stephen-j-flanagan-88571011/",M,"Fletcher School, Tufts University","Fletcher School, Tufts University",Columbia University
"mike-harasimowicz-794930b5/",M,NA,National War College,Syracuse University
"steven-galpern-b5407119/",M,The University of Texas at Austin,University of Chicago,Northwestern University
"lauralucasmagnuson/",F,NA,NA,University of Oregon
"kyle-murphy-456688155/",M,NA,Georgetown University,James Madison University
"brian-egan-aba82266/",M,"University of California, Berkeley - School of Law",NA,Stanford University
"brian-crooks-a2140ba2/",M,NA,Trident University International,CUNY New York City College of Technology
"douglas-lute-6666b115/",M,NA,Harvard Kennedy School of Government,United States Military Academy at West Point
"cheryl-davis-9889961/",F,NA,Penn State University,Penn State University
"sahar-nowrouzzadeh-4918b312/",F,NA,University of Maryland College Park,The George Washington University
"michellepatron/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Columbia University
"mattkaczmarek/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)","University of California, Los Angeles"
"cecilia-s-choi/",F,NA,"The London School of Economics and Political Science (LSE)",Claremont McKenna College
"amanda-catanzano-57794650/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",The Johns Hopkins University
"courtney-cooper-228a1b2/",F,NA,The George Washington University,University of Arizona
"fernandolujan/",M,NA,Harvard University Kennedy School of Government,United States Military Academy at West Point
"dilpreet-sidhu-1ab8a530/",F,NA,NA,Trinity University
"thom-rogers-20373b75/",M,"Washington University in St. Louis School of Law","Washington University in St. Louis",Texas Christian University
"mark-louthan-219921165/",M,NA,The Ohio State University,NA
"dmitry-vovchuk-4094a462/",M,NA,Georgetown University,Drew University
"dr-robyn-w-klein-59705b156/",F,"University of California, Berkeley",Middlebury Institute of International Studies at Monterey,Brandeis University
"christina-tilghman/",F,NA,University of Maryland,Hampton University
"joshua-t-white-6a52221/",M,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)","The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Williams College
"michael-ortiz-18b47a37/",M,NA,NA,Stanford University
"mike-hammer-b8690a126/",M,NA,"Tufts University - The Fletcher School of Law and Diplomacy",Georgetown University
"mark-lippert-7609b830/",M,NA,Stanford University,Stanford University
"james-loi-a12780/",M,NA,NA,Cornell University
"jenny-urizar-36a29390/",F,NA,"The London School of Economics and Political Science (LSE)",Brown University
"john-banghart-b43b6a/",M,NA,NA,Towson State University
"rick-driggers-1058ab37/",M,NA,NA,Thomas Edison State College
"matthew-aks-b5272751/",M,NA,Harvard Business School,Brown University
"skyspeirs/",F,NA,Princeton University,Yale University
"tom-greenwood-795772119/",M,NA,Georgetown University,Washington and Lee University
"eric-letvin-29a38079/",M,University of Maryland School of Law,Syracuse University,Syracuse University
"russell-washington-6837b17/",M,NA,Harvard Kennedy School of Government,Troy University
"elizabeth-gonzalez-b0aa0890/",F,NA,"Harvard University Graduate School of Education",Harvard University
"patricia-cogswell-5a690415a/",F,"William & Mary",NA,University of Pennsylvania
"jessica-davlin-91405490/",F,NA,"Duke University - The Fuqua School of Business",Duke University
"jeffreycollins01/",M,Northwestern University School of Law,NA,Stanford University
"douglas-bell-064ba91/",M,NA,"Massachusetts Institute of Technology - Sloan School of Management","University of California, Berkeley"
"eric-lebson-b6762588/",M,NA,NA,The George Washington University 
"sam-parker-32774411/",M,NA,Georgetown University,"St John's College New Mexico"
"paul-hollingsworth-ab63059b/",M,"University of California, Berkeley","University of California, Berkeley",Georgetown University
"luke-hartig-a905673/",M,NA,Harvard Kennedy School of Government,Boston University
"aldridge/",M,NA,"Harvard University, Kennedy School of Government",United States Naval Academy
"johnfplumb/",M,University of Colorado Boulder,University of Colorado Boulder,University of Notre Dame
"darren-turner-62398465/",M,NA,Naval Postgraduate School,United States Naval Academy
"jason-t-a4943160/",M,NA,Naval War College,The George Washington University
"ryan-henebery-666a39147/",M,NA,Marist College,US Coast Guard Academy
"jennifer-boone-b69111148/",F,NA,Georgetown University,Georgetown University
"mark-melamed-3ab0763/",M,NA,Princeton University,University of Arizona
"chuck-lutes-801a38",M,The George Washington University,"U.S. Air Force Institute of Technology",Duke University
"benjamin-read-41817121/",M,NA,"Columbia University - School of International and Public Affairs",Amherst College
"colin-willett-6457bba1/",F,NA,Tufts University,The College of William and Mary
"troysthomas/",M,NA,The George Washington University,United States Air Force Academy
"suzy-george-22280b85/",F,The George Washington University Law School,NA,Mount Holyoke College
"sarah-cross-15a68835/",F,NA,NA,NA
"shon-mccormick-b91a255/",M,Kansas State University,Kansas State University,United States Military Academy at West Point
"tamanna-salikuddin-785115140/",F,"The Ohio State University Moritz College of Law",NA,Northwestern
"jessica-kehl-421816131/",F,NA,Georgetown University,Smith College
"tess-bridgeman/",F,University of Oxford,New York University School of Law,Stanford University
"steven-stransky-985572156/",M,University of Akron School of Law,Georgetown University Law Center,The Ohio State University
"allison-melia-b6a096b6/",F,NA,George Mason University,Harvard University
"mikemoore72/",M,NA,NA,"National-Louis University"
"emily-mendrala-38ba6a3/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",University of Virginia
"scott-busby-a5478169/",M,"University of California, Berkeley","University of California, Berkeley",Amherst College
"hagar-hajjar-chemali/",M,NA,"Columbia University - School of International and Public Affairs",Barnard College
"natasha-soulé-bb6b45b/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Vanderbilt University
"kirsten-ahern-596438/",F,NA,Monterey Institute of International Studies,University of Arizona
"quintanwiktorowicz/",M,American University,NA,Cornell University
"ricardo-zuniga-027522150/",M,NA,NA,University of Virginia
"hecksk/",F,NA,Georgetown University,University of Maryland
"james-vorhies-a6606a65/",M,NA,University of Baltimore,Washington College
"christopher-fonzone-94387413b/",M,Harvard Law School,NA,Cornell University
"elissa-slotkin-513554130/",F,NA,"Columbia University - School of International and Public Affairs",Cornell University
"dan-schneiderman-a789224/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",The George Washington University
"gene-gray-abb6349/",M,NA,Harvard Kennedy School of Government,US Coast Guard Academy
"elizabeth-phu-5b68876/",F,"UC San Diego School of Global Policy and Strategy (GPS)",University of California, Berkeley
"jeffersontbrown/",M,NA,NA,The University of Chicago
"mark-michel-530ab421/",M,NA,University of Miami,Auburn University
"matthew-fuller-86142015/",M,NA,"The University of Texas at Austin - The LBJ School of Public Affairs",Pepperdine University
"lee-910150/",F,Boston University School of Law,NA,Boston University
"andrewcedar/",M,NA,Harvard Business School,Yale University
"liz-drew-2644279/",F,NA,"The London School of Economics and Political Science (LSE)",Brown University
"gautam-rana-62b7466/",M,Vanderbilt University Law School,NA,University of Pennsylvania
"thomas-west-117209a6/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)", The Johns Hopkins University
"sean-morgan-43070131/",M,NA,NA,University of Pittsburgh
"mary-derosa-1aa13a3a/",F,The George Washington University Law School,University of Virginia
"davebogle22/",M,NA,University of Oklahoma College of Liberal Studies,College of Charleston
"celeste-connors-a336a28/",F,"School of Oriental and African Studies, U. of London",Tufts University
"justin-koplow-028108b4/",M,Georgetown University Law Center,NA,Georgetown University
"peter-r-lavoy-82348511/",M,"University of California, Berkeley",NA,Oberlin College
"jamia-jowers-641a136/",F,NA,Salve Regina University,University of Illinois at Urbana-Champaign
"laura-tischler-7a09963/",F,NA,NA,Duke University
"matthewjohnspence/",M,University of Oxford,Yale Law School,Stanford University
"monica-maher-7a1553b7/",F,NA,NA,NA
"chris-backemeyer-1264261/",M,NA,"UC San Diego School of Global Policy and Strategy (GPS)",Arizona State University
"bridgetmatty/",F,NA,The Johns Hopkins University,Syracuse University
"christopher-le-mon/",M,New York University School of Law,NA,"University of California, Santa Cruz"
"caitlin-baker-8a2a1a5/",F,NA,Harvard Kennedy School of Government,Georgetown University
"benjamingedan/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Tufts University
"deswalton/",M,NA,The George Washington University,McDaniel College
"dafna-hochman-rand-84752262/",F,Columbia University,NA,Harvard University
"paul-stronski-31249a1/",M,Stanford University,Stanford University,Georgetown University
"natalie-quillian-5b3b6a130/",F,NA,"Princeton University, Woodrow Wilson School of International and Public Affairs",Middlebury College
"jamie-earl-8b29206/",M,University of Michigan Law School,Stanford University,Georgetown University
"boranypenh/",F,NA,The London School of Economics and Political Science (LSE),Northwestern University                      
"rebecca-ore/",F,NA,Woodrow Wilson School of Public and International Affairs,US Coast Guard Academy
"justin-l-53170714/",M,George Mason University School of Law,NA,Michigan State University
"josh-black-5448557/",M,NA,Princeton University,The Ohio State University
"jon-wolfsthal-b2205837/",M,NA,NA,Emory University
"alex-greenstein-9aba4812/",M,NA,NA,The George Washington University
"douglas-koneff-15356435/",M,NA,"Defense Intelligence College, DIA",Cornell University
"ben-flatgard-1682a82/"M,NA,The University of Edinburgh,NA
"jon-duffy-49a72131/",M,NA,Naval Postgraduate School,United States Naval Academy
"lawlnb/",F,University of Baltimore School of Law,NA,Washington College
"josephpcassidy/",M,NA,The George Washington University,Wesleyan University
"tj-zerr-5b2167/",M,NA,"University of Pennsylvania - The Wharton School",United States Naval Academy
"tim-davis-3031669/",M,NA,NA,The University of Alabama
"victor-atkins-854882b2/",M,NA,"University of California, San Diego",University of Virginia
"michelle-lenihan-1072564/",F,NA,Harvard University Kennedy School of Government,University of Pennsylvania
"ericmcooper/",M,NA,Naval War College,US Coast Guard Academy
"justin-reynolds-b8a5a419/",M,University of Iowa College of Law,Stanford University,Stanford University
"siobhan-sheils/",F,NA,"Maxwell School, Syracuse University",Boston College
"michael-sessums-198000a/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Emory University
"kate-charlet-8a84581/",F,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Princeton University
"chrishensman/",M,NA,"University of Pennsylvania - The Wharton School",Connecticut College
"laceyhayes/",F,NA,The George Washington University,University of Puget Sound
"1markemitchell/",M,NA,Naval Postgraduate School,Marquette University
"theresa-smith-2b805730/",F,University of Iowa,The Johns Hopkins University
"chip-colbert-253a146/",M,NA,Columbia University,United States Military Academy at West Point
"nicole-wilett-jensen-283a474/",F,NA,Indiana University Bloomington,Syracuse University
"danny-russel-494475b0/",M,NA,NA,Sarah Lawrence College
"gideon-maltz/",M,Stanford University Law School,NA,Yale University
"rexon-ryu-9a30725b/",M,NA,"Princeton University, Woodrow Wilson School of International and Public Affairs","University of California, Berkeley"
"jonathan-gandomi-3918777/",M,NA,Princeton University,University of Arizona
"ilan-goodman-08648098/",M,NA,NA,"University of Massachusetts, Amherst"
"alex-pascal-817a254/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Stanford University
"leahc/",F,NA,Stanford University,University of Southern California
"terence-szuplat-456914137/",M,NA,NA,American University
"ckrency/",F,NA,Georgetown University,Penn State University
"amanda-sloat-04a9ab108/",F,The University of Edinburgh,NA,Michigan State University
"david-rapallo-327b244/",M,"University of California, Hastings College of the Law",Georgetown University Law Center,"University of California, Los Angeles"
"davidmussington/",M,Carleton University,University of Toronto,University of Toronto
"mark-feierstein-77a242/",M,NA,"Tufts University - The Fletcher School of Law and Diplomacy",Tufts University      
"ryan-karr-796729163/",M,NA,NA,Dartmouth College
"philipreiner/",M,NA,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)","University of California, Santa Barbara"
"adam-sieminski-2b077a91/",M,NA,Cornell University,Cornell University
"caroline-k-11b68012a/",F,Yale Law School,NA,Stanford University
"emilyrpierce/",F,The George Washington University Law School,NA,University of North Carolina at Chapel Hill 
"benjamin-w-0ab070145/",M,NA,The United States Army War College,NA
"victoriajtaylor/",F,NA,The London School of Economics,University of Pennsylvania
"hugo-yon-ba9294140/",M,NA,Woodrow Wilson School of Public and International Affairs,"University of California, Berkeley"
"kristen-pappas-ba670216/",F,Georgetown University Law Center,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Pace University
"andreas-kinn-124202149/",M,NA,NA,Virginia Tech
"marti-flacks-0a03637/",F,Columbia University School of Law,"Tufts University - The Fletcher School of Law and Diplomacy",Georgetown University
"barbara-smithmtd/",F,NA,Texas State University,The University of Texas at Austin
"nancy-abella-434553a3/",F,NA,NA,Georgetown University
"louis-l-bono-2b8a675/",M,Pace University School of Law,National Defense University,Manhattanville College
"evan-medeiros-b36733/",M,"The London School of Economics and Political Science (LSE)",University of Cambridge,NA
"bobjensenstrat3/",M,NA,NA,The Ohio State University
"sameer-bhalotra/",M,Stanford University,NA,Harvard University
"alexander-smarsch-1b12093b/",M,Michigan State University College of Law,NA,Michigan State University
"evan-coren-589aa220/",M,NA,"The London School of Economics and Political Science (LSE)",University of Maryland
"gillian-turner-7b41aba1/",F,NA,University of Cape Town,Columbia University in the City of New York
"seanmichaelgriffin/",M,NA,American Public University System,Thomas Edison State College
"ben-menges-8bb05891/",M,NA,"Pontificia Universidad Católica del Perú",United States Air Force Academy
"laura-holgate-a172294/",F,NA,Massachusetts Institute of Technology,Princeton University
"russell-crandall-5b76823/",M,"The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)","The Johns Hopkins University - Paul H. Nitze School of Advanced International Studies (SAIS)",Bowdoin College
"jill-ehrlich-robinson-7393b010/",F,NA,"The University of Texas at Austin - The LBJ School of Public Affairs",Tulane University
"alexander-bick-3017bba/",M,Princeton University,"The London School of Economics and Political Science (LSE)",University of Chicago
"leslie-hayden-0609083a/",F,NA,NA,Brigham Young University
"lynette-behnke-14606b7/",F,NA,NA,Tulane University
"ahsha-tribble-phd-773a6a5/",F,University of Oklahoma,Florida State University,Florida Agricultural and Mechanical University
"megan-doherty-1b5a31145/",F,NA,NA,University of Virginia
Alice Hill,"alicehillresilience/",F,University of Virginia School of Law,NA,Stanford University,Law,"Senior Advisor for Preparedness and Resilience; Senior Director for Resilience Policy; Special Assistant to the President and Senior Director for Resilience Policy","Sep 2013 - Sep 2016"
Andrew Cutillo,"acutillo/",M,University of Michigan Law School,University of Pennsylvania,University of Rochester,NA,"Special Assistant for Legislative Affairs","Feb 2016 – May 2017"
Katherine Messina,"katherinerodriguez2/",F,NA,NA,Northwood University,DoD,"Special Assistant for the White House","Jan 2013 – Jul 2013"
Brandt Pasco,"exportcontrolreform/",M,Georgetown University Law Center,The University of Chicago,University of Kansas,NA,"Member,Export Control Reform Task Force","2009 - 2011"
Heather Gutierrez,"heatherroebkegutierrez/",F,NA,NA,Florida State University,NA,"Acting Deputy Executive Secretary and Staff Officer; Deputy Director","Sep 2009 – Jun 2012; Aug 2016 – May 2017"
Courtney Beale,"courtneyabeale/",F,NA,Princeton University,Georgetown University,DoS,"Senior Director for Global Engagement and Special Assistant to the President","April 2015 – January 2017"
Tyler Beckelman,"tyler-beckelman-6538029b/",M,NA,Georgetown University,Macalester College,USAID,"Director for African Affairs","Jan 2012 – Oct 2013"
Jacob Breach,"jbreach/",M,NA,National Intelligence University,Purdue University,IC,"Staff Officer","Oct 2014 – Dec 2015"
